Time,/RHipRoll/,/LKneePitch/,/LHipPitch/,/RKneePitch/,/LAnklePitch/,/LHipYawPitch/,/RAnkleRoll/,/RHipPitch/,/LHipRoll/,/LAnkleRoll/,/RAnklePitch/
0.373289,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.38115,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.39346,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.401242,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.413434,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.421238,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.432417,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.441352,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.452748,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.46138,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.472853,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.481536,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.492777,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.501845,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.512605,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.521781,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.532235,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.541829,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.552274,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.562008,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.572647,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.58195,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.592852,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.602275,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.613031,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.622271,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.632599,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.642195,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.652988,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.662236,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.672819,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.682349,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.692249,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.702367,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.712662,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.72246,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.732633,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.742437,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.752772,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.762602,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.772745,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.792632,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.802719,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.812638,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.822783,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.832665,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.84278,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.852906,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.862918,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.872971,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.883133,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.893033,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.903006,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.913178,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.923056,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
0.933108,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
