Time,RAnkleRoll,LHipYawPitch,RKneePitch,LKneePitch,RHipRoll,LHipRoll,LHipPitch,LAnklePitch,RHipPitch,LAnkleRoll,RAnklePitch,LFoot/FSR/FrontRight/Sensor/Value,LFoot/FSR/RearLeft/Sensor/Value,LFoot/FSR/FrontLeft/Sensor/Value,LFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/FrontLeft/Sensor/Value,RFoot/FSR/FrontRight/Sensor/Value,RFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/RearLeft/Sensor/Value
0.250635,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0191367,0.525564,0.238068,0,0.157589,0.528638,0.351062,0
0.260656,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.526949,0.237189,0,0.157589,0.528638,0.351615,0
0.270697,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.018601,0.525564,0.236751,0,0.15779,0.530916,0.351062,0
0.280709,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0185121,0.525564,0.238068,0,0.157991,0.530916,0.34996,0
0.29087,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.018601,0.526949,0.238509,0,0.158193,0.530916,0.348863,0
0.300888,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.52834,0.239838,0,0.15779,0.53206,0.349411,0
0.31088,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0184232,0.531141,0.238951,0,0.159612,0.533209,0.34996,0
0.32084,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.529737,0.238951,0,0.15779,0.534362,0.354399,0
0.33092,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0181573,0.529737,0.237628,0,0.157188,0.53206,0.351062,0
0.340976,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0177162,0.532551,0.240729,0,0.15779,0.536681,0.354399,0
0.351054,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0180689,0.52834,0.238951,0,0.156988,0.53552,0.356085,0
0.361075,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0180689,0.529737,0.239394,0,0.157991,0.53552,0.356649,0
0.371084,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0176282,0.529737,0.239394,0,0.156588,0.537847,0.358922,0
0.381071,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0178923,0.52834,0.238509,0,0.157188,0.536681,0.364115,0
0.391234,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0179806,0.52834,0.238068,0,0.156788,0.536681,0.361216,0
0.401187,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0175404,0.531141,0.238068,0,0.156988,0.539017,0.358922,0
0.411218,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0168412,0.532551,0.239394,0,0.157188,0.540191,0.358352,0
0.421385,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01719,0.531141,0.239838,0,0.157388,0.539017,0.358352,0
0.431221,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0166674,0.532551,0.239838,0,0.159205,0.539017,0.358352,0
0.441198,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0178923,0.532551,0.239394,0,0.158395,0.539017,0.360066,0
0.451239,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0172775,0.533968,0.241624,0,0.15779,0.540191,0.357783,0
0.461216,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0176282,0.536822,0.242523,0,0.157589,0.539017,0.357216,0
0.471305,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0180689,0.538258,0.243879,0,0.157991,0.539017,0.357783,0
0.481461,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0181573,0.538258,0.243879,0,0.158395,0.540191,0.356649,0
0.491452,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0181573,0.538258,0.243426,0,0.158193,0.53552,0.356085,0
0.501441,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0174526,0.538258,0.243879,0,0.158395,0.541369,0.358352,0
0.511402,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0185121,0.538258,0.245245,0,0.158193,0.540191,0.357216,0
0.521438,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0180689,0.538258,0.245245,0,0.15779,0.540191,0.358352,0
0.531527,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0184232,0.541152,0.245245,0,0.156988,0.541369,0.360066,0
0.541389,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0184232,0.541152,0.245702,0,0.157388,0.542552,0.363532,0
0.551433,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.541152,0.24708,0,0.156588,0.540191,0.362371,0
0.561559,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0188684,0.542609,0.248468,0,0.156588,0.541369,0.362951,0
0.571549,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0179806,0.542609,0.24708,0,0.157188,0.540191,0.362951,0
0.581568,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0181573,0.541152,0.24708,0,0.156389,0.542552,0.364698,0
0.591528,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0185121,0.542609,0.248004,0,0.157589,0.540191,0.362951,0
0.6016,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0182459,0.542609,0.248004,0,0.158395,0.542552,0.363532,0
0.611653,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0183345,0.542609,0.249398,0,0.159612,0.542552,0.362951,0
