Time,"Device/SubDeviceList/RAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LHipYawPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/RKneePitch/Position/Actuator/Value","Device/SubDeviceList/LKneePitch/Position/Actuator/Value","Device/SubDeviceList/RHipRoll/Position/Actuator/Value","Device/SubDeviceList/LHipRoll/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LHipPitch/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LAnklePitch/Position/Actuator/Value","Device/SubDeviceList/RHipPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/LAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RAnklePitch/Position/Actuator/Value"
0.762051,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0168412,0,-0.32887,-0.60538,0,0.158813,0.131023,-0.023071,1.51113,-0.66373
0.772053,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.158387,0.13079,-0.023071,1.51113,-0.66373
0.782244,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.1586,0.131256,-0.023071,1.51113,-0.66373
0.791985,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158387,0.130325,-0.023071,1.51113,-0.66373
0.801953,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0178042,0,-0.32887,-0.60538,0,0.157963,0.13079,-0.023071,1.5184,-0.66373
0.811959,-0.029866,-0.01174,0.264956,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.1586,0.130557,-0.023071,1.5184,-0.66373
0.822178,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.1586,0.13079,-0.023071,1.5184,-0.66373
0.832012,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.1586,0.131023,-0.023071,1.5184,-0.66373
0.842041,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.158813,0.130325,-0.023071,1.51113,-0.66373
0.852045,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.159027,0.13079,-0.023071,1.5184,-0.66373
0.862068,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158813,0.131023,-0.023071,1.51113,-0.66373
0.872095,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158175,0.130557,-0.023071,1.5184,-0.66373
0.882111,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.1586,0.131023,-0.023071,1.51113,-0.66373
0.892182,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158813,0.130325,-0.023071,1.5184,-0.66373
0.902168,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.158813,0.131256,-0.023071,1.5184,-0.66373
0.912175,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.1586,0.13079,-0.023071,1.51113,-0.66373
0.922198,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158175,0.13079,-0.023071,1.51113,-0.66373
0.932308,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0171027,0,-0.32887,-0.60538,0,0.158813,0.13149,-0.023071,1.51113,-0.66373
0.942436,-0.029866,-0.01174,0.262705,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.158175,0.130325,-0.023071,1.52572,-0.66373
0.952404,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.1586,0.131724,-0.023071,1.51113,-0.66373
0.962513,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158813,0.131023,-0.023071,1.51113,-0.66373
0.972427,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.51113,-0.66373
0.982443,-0.029866,-0.01174,0.265334,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0171027,0,-0.32887,-0.60538,0,0.1586,0.131256,-0.023071,1.51113,-0.66373
0.992378,-0.029866,-0.01174,0.265712,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158175,0.131724,-0.023071,1.51113,-0.66373
1.00379,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158813,0.131023,-0.023071,1.5184,-0.66373
1.01254,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158813,0.131256,-0.023071,1.51113,-0.66373
1.02257,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158387,0.131023,-0.023071,1.5184,-0.66373
1.03258,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158175,0.13079,-0.023071,1.51113,-0.66373
1.04257,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.158813,0.13079,-0.023071,1.51113,-0.66373
1.05265,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0170154,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.51113,-0.66373
1.06254,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.159241,0.13079,-0.023071,1.51113,-0.66373
1.0727,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158813,0.13149,-0.023071,1.5184,-0.66373
1.08265,-0.029866,-0.01174,0.264956,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.158813,0.131023,-0.023071,1.51113,-0.66373
1.09269,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.438147,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.1586,0.129862,-0.023071,1.52572,-0.66373
1.10275,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.5184,-0.66373
1.11273,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.1586,0.13079,-0.023071,1.5184,-0.66373
1.12274,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.1586,0.13079,-0.023071,1.5184,-0.66373
1.1328,-0.029866,-0.01174,0.264956,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.158387,0.13149,-0.023071,1.5184,-0.66373
1.14277,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0169283,0,-0.32887,-0.60538,0,0.1586,0.131023,-0.023071,1.5184,-0.66373
1.15276,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0178923,0,-0.32887,-0.60538,0,0.159027,0.131023,-0.023071,1.51113,-0.66373
1.16291,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158813,0.13149,-0.023071,1.51113,-0.66373
1.17293,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.159241,0.131023,-0.023071,1.51113,-0.66373
1.18295,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158813,0.13079,-0.023071,1.51113,-0.66373
1.19294,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.438147,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.159455,0.131724,-0.023071,1.51113,-0.66373
1.20298,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.158387,0.131256,-0.023071,1.51113,-0.66373
